participant_id,start_date,end_date,batch,duration,qualtrics_duration,group_id,partner_choice,public_private,unique_group_id,participant_role,dg_total,dg_a_gen_transfer,dg_a1_transfer,dg_a2_transfer,dg_payoff,tg_partner_choice,tg_total,tg_c_transfer,tg_c_transfer_x3,tg_c_keep,tg_a_return,tg_payoff,dgtg_payoff,complete,total_bonus,age,gender,gender_7_text,race_ethnicity,dg_a_transfer,dg_a_moral,dg_a1_moral,dg_a2_moral,dg_a_chosen_moral,tg_c_moral,tg_a_moral,believe_real,observability,dg_a_chosen_transfer,dg_a_gen_transfer_ratio,dg_a_transfer_ratio,dg_a1_transfer_ratio,dg_a2_transfer_ratio,dg_a_chosen_transfer_ratio,tg_c_transfer_ratio,tg_a_return_ratio
1,2023-08-09T20:51:00Z,2023-08-09T20:57:00Z,1,6,363,11,yes,private,20230809_11_yes_private,B,0.5,NA,0.5,0,0.5,NA,0.5,NA,NA,NA,NA,NA,0.5,TRUE,1.1,28,Woman,NA,Hispanic/Latino/a/e,NA,NA,99,14,NA,NA,NA,Yes,0,NA,NA,NA,1,0,NA,NA,NA
2,2023-08-09T20:51:00Z,2023-08-09T20:59:00Z,1,8,469,12,no,public,20230809_12_no_public,C,0.5,0.25,NA,NA,0,NA,0.5,0.5,1.5,NA,0.75,0.75,0.75,TRUE,1.35,27,Woman,NA,White,0.25,87,NA,NA,87,94,99,Yes,1,0.25,0.5,0.5,NA,NA,0.5,1,1.5
3,2023-08-09T20:51:00Z,2023-08-09T21:00:00Z,1,9,491,12,yes,public,20230809_12_yes_public,A2,0.5,0.25,NA,0.25,0.25,A2,0.5,0,0,0.5,NA,0,0.25,TRUE,0.85,32,Nonbinary person,NA,"Black or African American,White",NA,NA,NA,87,87,50,50,Yes,1,0.25,0.5,NA,NA,0.5,0.5,0,NA
4,2023-08-09T20:51:00Z,2023-08-09T20:58:00Z,1,7,393,12,yes,public,20230809_12_yes_public,B,0.5,NA,0.25,0.25,0.5,NA,0.5,NA,NA,NA,NA,NA,0.5,TRUE,1.1,37,Man,NA,Black or African American,NA,NA,100,100,NA,NA,NA,Yes,1,NA,NA,NA,0.5,0.5,NA,NA,NA
5,2023-08-09T20:51:00Z,2023-08-09T21:01:00Z,1,10,577,12,yes,public,20230809_12_yes_public,C,0.5,NA,0.25,0.25,0,A2,0.5,0,0,NA,NA,0.5,0.5,TRUE,1.1,28,Man,NA,"Asian or Asian American,Hispanic/Latino/a/e",NA,NA,50,50,50,50,50,Yes,1,0.25,NA,NA,0.5,0.5,0.5,0,NA
6,2023-08-09T20:51:00Z,2023-08-09T20:58:00Z,1,7,394,13,no,private,20230809_13_no_private,C,0.5,0,NA,NA,0,NA,0.5,0,0,NA,NA,0.5,0.5,TRUE,1.1,33,Man,NA,White,0,25,NA,NA,25,37,42,Yes,0,0,0,0,NA,NA,0,0,NA
7,2023-08-09T20:51:00Z,2023-08-09T20:59:00Z,1,8,476,13,yes,public,20230809_13_yes_public,A1,0.5,0,0,NA,0.5,A2,0.5,NA,NA,NA,NA,NA,0.5,TRUE,1.1,47,Woman,NA,White,NA,NA,53,NA,NA,NA,NA,No,1,NA,0,NA,0,NA,NA,NA,NA
8,2023-08-09T20:51:00Z,2023-08-09T20:59:00Z,1,8,489,13,yes,public,20230809_13_yes_public,A2,0.5,0.3,NA,0.3,0.2,A2,0.5,0,0,0.5,NA,0,0.2,TRUE,0.8,36,Man,NA,White,NA,NA,NA,70,70,5,50,Yes,1,0.3,0.6,NA,NA,0.6,0.6,0,NA
9,2023-08-09T20:51:00Z,2023-08-09T20:59:00Z,1,8,425,13,yes,public,20230809_13_yes_public,B,0.5,NA,0,0.3,0.3,NA,0.5,NA,NA,NA,NA,NA,0.3,TRUE,0.9,27,Man,NA,White,NA,NA,0,100,NA,NA,NA,No,1,NA,NA,NA,0,0.6,NA,NA,NA
10,2023-08-09T20:51:00Z,2023-08-09T20:59:00Z,1,8,494,14,no,private,20230809_14_no_private,A,0.5,0.5,NA,NA,0,NA,0.5,0.5,1.5,0,0.75,0.75,0.75,TRUE,1.35,71,Woman,NA,White,0.5,100,NA,NA,100,100,100,Yes,0,0.5,1,1,NA,NA,1,1,1.5
11,2023-08-09T20:51:00Z,2023-08-09T21:05:00Z,1,14,792,14,yes,private,20230809_14_yes_private,A1,0.5,0.2,0.2,NA,0.3,A1,0.5,0.5,1.5,0,0.75,0.75,1.05,TRUE,1.65,34,Man,NA,"Black or African American,White",NA,NA,52,NA,52,95,88,No,0,0.2,0.4,NA,0.4,NA,0.4,1,1.5
12,2023-08-09T20:51:00Z,2023-08-09T21:06:00Z,1,15,888,14,yes,private,20230809_14_yes_private,A2,0.5,0.2,NA,0.2,0.3,A1,0.5,NA,NA,NA,NA,NA,0.3,TRUE,0.9,47,Man,NA,White,NA,NA,NA,86,NA,NA,NA,No,0,NA,0.4,NA,NA,0.4,NA,NA,NA
13,2023-08-09T20:51:00Z,2023-08-09T21:04:00Z,1,13,728,14,yes,private,20230809_14_yes_private,B,0.5,NA,0.2,0.2,0.4,NA,0.5,NA,NA,NA,NA,NA,0.4,TRUE,1,29,Man,NA,White,NA,NA,50,50,NA,NA,NA,No,0,NA,NA,NA,0.4,0.4,NA,NA,NA
14,2023-08-09T20:51:00Z,2023-08-09T21:00:00Z,1,9,537,16,no,private,20230809_16_no_private,A,0.5,0,NA,NA,0.5,NA,0.5,0,0,0.5,NA,0,0.5,TRUE,1.1,29,Woman,NA,White,0,87,NA,NA,87,87,93,No,0,0,0,0,NA,NA,0,0,NA
15,2023-08-09T20:51:00Z,2023-08-09T21:02:00Z,1,11,666,17,yes,private,20230809_17_yes_private,C,0.5,NA,0,0.5,0,A2,0.5,0.2,0.6,NA,0.01,0.31,0.31,TRUE,0.91,45,Man,NA,White,NA,NA,28,80,80,55,0,No,0,0.5,NA,NA,0,1,1,0.4,0.05
