participant_id,start_date,end_date,batch,duration,qualtrics_duration,dg_a_transfer,dg_a_moral,dg_a1_moral,dg_a2_moral,dg_a_chosen_moral,tg_c_moral,tg_a_moral,believe_real,dgtg_payoff,total_bonus,tg_payoff,tg_a_return,tg_c_keep,tg_c_transfer_x3,tg_c_transfer,tg_total,tg_partner_choice,dg_payoff,dg_a2_transfer,dg_a_gen_transfer,dg_a1_transfer,dg_total,participant_role,partner_choice,public_private,unique_group_id,group_id,observability,dg_a_chosen_transfer,dg_a_gen_transfer_ratio,dg_a_transfer_ratio,dg_a1_transfer_ratio,dg_a2_transfer_ratio,dg_a_chosen_transfer_ratio,tg_c_transfer_ratio,tg_a_return_ratio
1,2023-04-24T20:49:00Z,2023-04-24T20:55:00Z,1,6,336,NA,NA,NA,0,NA,NA,NA,Yes,2,2.6,NA,NA,NA,NA,NA,2,A1,2,0,0,NA,2,A2,yes,public,20230424_2_yes_public,2,1,NA,0,NA,NA,0,NA,NA,NA
2,2023-04-24T20:49:00Z,2023-04-24T20:55:00Z,1,6,332,NA,NA,100,0,NA,NA,NA,Yes,0.5,1.1,NA,NA,NA,NA,NA,2,NA,0.5,0,NA,0.5,2,B,yes,public,20230424_2_yes_public,2,1,NA,NA,NA,0.25,0,NA,NA,NA
3,2023-04-24T20:49:00Z,2023-04-24T20:56:00Z,1,7,397,1,82,NA,NA,82,82,NA,Yes,3,3.6,2,1,1,3,1,2,NA,1,NA,1,NA,2,A,no,private,20230424_4_no_private,4,0,1,0.5,0.5,NA,NA,0.5,0.5,1
4,2023-04-24T20:50:00Z,2023-04-24T20:56:00Z,1,6,387,1,72,NA,NA,72,47,NA,Yes,7,7.6,6,0,0,6,2,2,NA,1,NA,1,NA,2,A,no,private,20230424_1_no_private,1,0,1,0.5,0.5,NA,NA,0.5,1,0
5,2023-04-24T20:50:00Z,2023-04-24T20:54:00Z,1,4,285,1,77,NA,NA,77,NA,NA,Yes,1,1.6,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,2,B,no,private,20230424_1_no_private,1,0,1,0.5,0.5,NA,NA,0.5,NA,NA
6,2023-04-24T20:50:00Z,2023-04-24T20:57:00Z,1,7,404,1,100,NA,NA,100,100,0,No,0,0.6,0,0,NA,6,2,2,NA,0,NA,1,NA,2,C,no,private,20230424_1_no_private,1,0,1,0.5,0.5,NA,NA,0.5,1,0
7,2023-04-24T20:50:00Z,2023-04-24T21:03:00Z,1,13,802,NA,NA,78,NA,NA,NA,NA,No,1.75,2.35,NA,NA,NA,NA,NA,2,A2,1.75,NA,0.25,0.25,2,A1,yes,private,20230424_1_yes_private,1,0,NA,0.125,NA,0.125,NA,NA,NA,NA
8,2023-04-24T20:50:00Z,2023-04-24T21:00:00Z,1,10,616,NA,NA,NA,86,86,75,NA,Yes,4,4.6,3,3,0,6,2,2,A2,1,1,1,NA,2,A2,yes,private,20230424_1_yes_private,1,0,1,0.5,NA,NA,0.5,0.5,1,1.5
9,2023-04-24T20:50:00Z,2023-04-24T20:56:00Z,1,6,349,NA,NA,28,66,NA,NA,NA,Yes,1.25,1.85,NA,NA,NA,NA,NA,2,NA,1.25,1,NA,0.25,2,B,yes,private,20230424_1_yes_private,1,0,NA,NA,NA,0.125,0.5,NA,NA,NA
10,2023-04-24T20:50:00Z,2023-04-24T20:56:00Z,1,6,387,NA,NA,64,100,100,82,100,Yes,3,3.6,3,3,NA,6,2,2,A2,0,1,NA,0.25,2,C,yes,private,20230424_1_yes_private,1,0,1,NA,NA,0.125,0.5,0.5,1,1.5
11,2023-04-24T20:50:00Z,2023-04-24T20:55:00Z,1,5,349,1,77,NA,NA,77,50,NA,Yes,1,1.6,0,NA,2,0,0,2,NA,1,NA,1,NA,2,A,no,public,20230424_2_no_public,2,1,1,0.5,0.5,NA,NA,0.5,0,NA
12,2023-04-24T20:50:00Z,2023-04-24T20:54:00Z,1,4,264,1,100,NA,NA,100,NA,NA,Yes,1,1.6,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,2,B,no,public,20230424_2_no_public,2,1,1,0.5,0.5,NA,NA,0.5,NA,NA
13,2023-04-24T20:50:00Z,2023-04-24T20:56:00Z,1,6,368,1,80,NA,NA,80,52,71,Yes,2,2.6,2,NA,NA,0,0,2,NA,0,NA,1,NA,2,C,no,public,20230424_2_no_public,2,1,1,0.5,0.5,NA,NA,0.5,0,NA
14,2023-04-24T20:50:00Z,2023-04-24T20:56:00Z,1,6,362,NA,NA,33,NA,33,50,NA,No,1.5,2.1,0,NA,2,0,0,2,A1,1.5,NA,0.5,0.5,2,A1,yes,public,20230424_2_yes_public,2,1,0.5,0.25,NA,0.25,NA,0.25,0,NA
15,2023-04-24T20:50:00Z,2023-04-24T20:56:00Z,1,6,390,NA,NA,38,38,38,52,50,No,2,2.6,2,NA,NA,0,0,2,A1,0,0,NA,0.5,2,C,yes,public,20230424_2_yes_public,2,1,0.5,NA,NA,0.25,0,0.25,0,NA
16,2023-04-24T20:50:00Z,2023-04-24T20:57:00Z,1,7,450,1,68,NA,NA,68,50,NA,Yes,4.6,5.199999999999999,3.6,0,0.8,3.6,1.2,2,NA,1,NA,1,NA,2,A,no,public,20230424_3_no_public,3,1,1,0.5,0.5,NA,NA,0.5,0.6,0
